WARNING 2026-07-08 22:22:49,424 log 7772 22212 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-07-08 22:22:49,425 log 7772 5308 Not Found: /static/admin/css/responsive.css
WARNING 2026-07-08 22:22:49,426 log 7772 8052 "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2026-07-08 22:22:49,426 log 7772 16564 "GET /static/admin/css/dashboard.css HTTP/1.1" 404 179
WARNING 2026-07-08 22:22:49,426 log 7772 6504 "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2026-07-08 22:22:49,427 log 7772 19608 "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2026-07-08 22:22:49,427 log 7772 22212 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2026-07-08 22:22:49,428 log 7772 5308 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2026-07-08 22:22:49,435 log 7772 22212 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2026-07-08 22:22:49,436 log 7772 5308 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-07-08 22:22:49,437 log 7772 6504 Not Found: /static/admin/css/responsive.css
WARNING 2026-07-08 22:22:49,438 log 7772 19608 Not Found: /static/admin/css/dashboard.css
WARNING 2026-07-08 22:22:49,438 log 7772 22212 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
WARNING 2026-07-08 22:22:49,439 log 7772 5308 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2026-07-08 22:22:49,439 log 7772 19608 "GET /static/admin/css/dashboard.css HTTP/1.1" 404 179
WARNING 2026-07-08 22:22:49,440 log 7772 6504 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
INFO 2026-07-08 22:23:33,807 log 7772 3060 "GET /admin/ HTTP/1.1" 302 0
INFO 2026-07-08 22:23:33,817 log 7772 3060 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4085
WARNING 2026-07-08 22:23:33,860 log 7772 3060 Not Found: /static/admin/css/base.css
WARNING 2026-07-08 22:23:33,861 log 7772 6088 Not Found: /static/admin/css/dark_mode.css
WARNING 2026-07-08 22:23:33,866 log 7772 3060 "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2026-07-08 22:23:33,867 log 7772 14620 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-07-08 22:23:33,872 log 7772 6088 "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2026-07-08 22:23:33,874 log 7772 13828 Not Found: /static/admin/css/login.css
WARNING 2026-07-08 22:23:33,876 log 7772 14620 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2026-07-08 22:23:33,879 log 7772 13828 "GET /static/admin/css/login.css HTTP/1.1" 404 179
WARNING 2026-07-08 22:23:33,912 log 7772 20732 Not Found: /static/admin/css/responsive.css
WARNING 2026-07-08 22:23:33,922 log 7772 16720 Not Found: /static/admin/js/theme.js
WARNING 2026-07-08 22:23:33,923 log 7772 20732 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2026-07-08 22:23:33,928 log 7772 16720 "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2026-07-08 22:23:33,936 log 7772 13828 Not Found: /static/admin/css/responsive.css
WARNING 2026-07-08 22:23:33,945 log 7772 20732 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2026-07-08 22:23:33,946 log 7772 14620 Not Found: /static/admin/css/login.css
WARNING 2026-07-08 22:23:33,948 log 7772 16720 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-07-08 22:23:33,948 log 7772 13828 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2026-07-08 22:23:33,949 log 7772 20732 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
WARNING 2026-07-08 22:23:33,949 log 7772 14620 "GET /static/admin/css/login.css HTTP/1.1" 404 179
